timestamp;bcoin
1643450087.942811;32.34
1643450424.131869;32.34
1643450603.574071;32.34
1643451277.884721;32.34
1643451952.067623;32.34
1643452626.505153;32.34
1643453300.782494;32.34
1643453975.073349;32.34
1643454649.276281;32.34
1643455323.550828;32.34
1643455997.780756;32.34
1643456672.031368;32.34
1643457347.895124;32.34
1643458376.724518;32.34
1643458990.496752;32.34
1643459604.082519;32.34
1643470410.67555;32.34
1643470519.098658;32.34
1643471133.056704;32.34
1643471746.849145;32.35
1643472360.684984;32.35
1643472974.495469;32.35
1643473588.313043;32.35
1643474202.110687;32.35
1643474816.054259;32.35
1643475429.936354;32.35
1643476043.75771;32.35
1643476657.692869;32.35
1643477271.496208;32.35
1643477885.410903;32.35
1643478500.710712;32.35
1643478823.925429;32.37
1643479011.391355;32.37
1643479134.233922;32.37
1643479217.013135;32.37
1643479607.312771;32.37
1643479918.825343;32.37
1643480108.975945;32.37
1643481113.350857;32.37
1643481363.434806;32.37
1643481427.847144;32.37
1643481689.508128;32.37
1643481708.21737;32.37
1643481905.695494;32.37
1643481971.210887;32.37
1643482070.692013;32.37
1643482132.832952;32.37
1643482453.652313;32.37
1643482774.072187;32.37
1643483094.545806;32.37
1643483415.182659;32.37
1643483735.851983;32.37
1643484056.262575;32.37
1643484377.013056;32.37
1643484697.582685;32.37
1643485017.978479;32.37
1643485338.788387;33.66
1643485659.369265;33.22
1643485979.861963;33.22
1643486300.276282;33.22
1643486620.747086;33.22
1643486941.305836;33.22
1643487261.788263;33.22
1643487582.242935;33.22
1643487902.719929;33.22
1643488223.252353;33.22
1643488543.754155;33.22
1643488864.440224;33.22
1643489185.064034;33.22
1643489505.497932;33.22
1643489826.013191;33.22
1643490146.359593;33.22
1643490466.834811;33.22
1643490787.2382;33.22
1643491107.850117;33.22
1643491428.448699;33.22
1643491749.012652;33.22
1643492069.518798;33.22
1643492390.053637;33.22
1643492710.731236;33.36
1643493031.015851;33.36
1643493671.410128;33.36
1643493991.827978;33.36
1643494312.307752;33.36
1643494633.013066;33.36
1643494953.69645;33.36
1643495274.141633;33.36
1643497048.453714;33.36
1643497683.388154;33.36
1643498000.882829;33.36
1643498318.403359;33.36
1643498636.012484;33.36
1643498953.570209;33.36
1643499271.100223;33.36
1643499588.532708;33.36
1643499906.003826;33.36
1643500223.460472;33.36
1643500541.019144;33.36
1643500858.652675;33.36
1643501176.342214;33.36
1643501493.936395;33.36
1643501811.415193;33.36
1643502128.888126;33.36
1643502446.328715;33.36
1643505189.903739;33.4
1643505498.607489;33.4
1643505807.208473;33.4
1643506115.835016;33.4
1643506424.398565;33.4
1643506733.083455;33.4
1643507041.80064;33.4
1643507350.483747;33.4
1643507658.91518;33.4
1643507967.573513;33.4
1643508276.170336;33.4
1643508584.790766;33.4
1643508893.415601;33.4
1643509201.941521;33.4
1643509510.690092;33.4
1643509819.543047;33.4
1643510128.113263;33.4
1643510436.813088;33.4
1643510745.599223;33.4
1643511054.368564;33.4
1643511370.88013;33.91
1643511679.560027;33.93
1643511988.12381;34.2
1643512296.787655;34.2
1643512605.440545;34.2
1643512914.095756;34.2
1643513531.381763;34.2
1643513840.029273;34.2
1643514148.794597;34.2
1643514457.387946;34.2
1643514766.13046;34.2
1643515074.818858;34.2
1643515383.466477;34.2
1643515692.16004;34.2
1643516000.712733;34.2
1643516309.372032;34.2
1643516618.039445;34.2
1643516926.717517;34.2
1643517235.424534;34.2
1643517544.029948;34.2
1643517852.730087;34.2
1643518161.445022;34.2
1643518470.061419;34.2
1643518786.334882;34.2
1643519094.856033;34.2
1643519403.454052;34.2
1643519711.995822;34.2
1643520020.728615;34.2
1643520329.484413;34.2
1643520638.233828;34.2
1643520946.770462;34.2
1643521255.399503;34.2
1643521563.925355;34.2
1643521872.631444;34.2
1643522181.330402;34.2
1643522489.995065;34.2
1643523107.284903;34.2
1643523415.905805;34.2
1643523724.555181;34.2
1643524033.268254;34.2
1643524341.943278;34.2
1643524650.710502;34.2
1643524959.344501;34.2
1643525268.120936;34.2
1643525576.771747;34.2
1643525885.560881;34.2
1643526202.152831;34.2
1643526819.350404;34.22
1643527127.926159;34.22
1643527436.665198;34.22
1643527745.321101;34.22
1643528054.158953;34.22
1643528362.792245;34.22
1643528671.40652;34.22
1643528980.104819;34.22
1643529288.829966;34.22
1643529597.501182;34.22
1643529906.095126;34.22
1643530214.790976;34.22
1643530523.405883;34.22
1643530832.01085;34.22
1643531140.800844;34.22
1643531449.511514;34.22
1643531758.251528;34.22
1643532066.895527;34.22
1643532375.573609;34.22
1643532684.464524;34.22
1643532993.109621;34.22
1643533301.629143;34.22
1643533618.062748;34.22
1643533926.523711;34.64
1643534235.130209;34.97
1643534543.791352;34.97
1643534852.541961;34.97
1643535161.25869;34.97
1643535469.965389;34.97
1643535778.532827;34.97
1643536087.193828;34.97
1643536395.721826;34.97
1643536704.446649;34.97
1643537012.901749;34.97
1643537321.510294;34.97
1643537630.142297;34.97
1643537938.786341;34.97
1643538247.478662;34.97
1643538556.195256;34.97
1643538864.888738;34.97
1643539173.595587;34.97
1643539482.197877;34.97
1643539790.910374;34.97
1643540099.582952;34.97
1643540408.375051;34.97
1643540717.068322;34.97
1643541033.624247;35.25
1643541342.229097;35.25
1643541651.066542;35.25
1643541959.772674;35.25
1643542268.399212;35.25
1643542577.001005;35.25
1643542885.628664;35.25
1643547664.232294;35.25
1643547980.901681;35.25
1643548289.774077;35.47
1643548598.447785;35.48
1643548907.316917;35.48
1643549216.157602;35.48
1643549525.1564;35.48
1643549834.138312;35.48
1643550143.083252;35.48
1643550451.987123;35.48
1643550760.875799;-1
1643551069.794275;35.48
1643551378.724996;35.48
1643551687.527806;35.48
1643551996.454033;35.48
1643552305.334812;35.48
1643552614.33013;35.48
1643552923.133789;35.48
1643553231.978149;35.48
1643553540.858867;35.48
1643553849.838838;35.48
1643554158.584538;35.48
1643554467.484449;35.48
1643554776.298356;35.48
1643555085.216378;35.48
1643555401.935533;35.76
1643555710.723231;35.76
1643556019.415054;35.76
1643556328.269609;35.76
1643556636.987926;35.76
1643556945.918132;35.76
1643557254.782938;35.76
1643557563.646068;35.76
1643557872.513274;35.76
1643558181.430024;35.76
1643558490.311108;35.76
1643558799.187057;35.76
1643559108.084112;35.76
1643559416.953186;35.76
1643559725.876677;35.76
1643560034.717986;35.76
1643560343.63689;35.76
1643560652.426449;35.76
1643560961.188295;35.76
1643561269.852143;35.76
1643561578.944672;35.76
1643561887.799806;35.76
1643562196.832715;35.76
1643562505.748153;35.76
1643562822.382303;35.78
1643563131.11516;36.84
1643563440.098304;36.84
1643563748.908896;36.84
1643564057.722157;36.84
1643564366.569954;36.84
1643564675.342946;36.84
1643564984.326996;36.84
1643565293.140653;36.84
1643565601.940437;36.84
1643565910.80569;36.84
1643566219.666583;36.84
1643566528.522845;36.84
1643566837.425301;36.84
1643567146.512728;36.84
1643567455.48231;36.84
1643567764.378363;36.84
1643568073.357768;36.84
1643568382.402444;36.84
1643568691.387523;36.84
1643569000.336092;36.84
1643569309.214082;36.84
1643569618.049708;36.84
1643569927.124789;36.84
1643570552.724864;36.84
1643584104.788029;36.43
1643584420.118013;36.43
1643584727.486401;36.43
1643585034.863625;36.43
1643585342.191113;36.43
1643585649.454768;36.43
1643585956.723436;36.43
1643586264.052326;36.43
1643586571.382404;36.43
1643586878.650784;36.43
1643587185.96197;36.43
1643587493.338174;36.43
1643587800.698959;36.43
1643588107.947812;36.43
1643588415.313853;36.43
1643588722.593383;36.43
1643589029.871342;36.43
1643589337.162708;36.43
1643589644.549649;36.43
1643589951.975796;36.43
1643590259.340749;36.43
1643590566.653573;36.43
1643590873.968596;36.43
1643591181.321487;36.43
1643591488.662529;36.43
1643591803.957078;36.43
1643592111.32248;36.43
1643592418.703916;36.43
1643592725.963964;36.43
1643593033.249562;36.43
1643593340.581825;36.43
1643593647.873399;36.43
1643593955.184139;36.43
1643594262.382511;36.43
1643594569.744533;36.43
1643594877.062358;36.43
1643595184.389152;36.43
1643595491.683454;36.43
1643595798.935901;36.43
1643596106.283462;36.43
1643596413.646918;36.43
1643596720.943902;36.43
1643597028.219362;36.43
1643597335.456735;36.43
1643597642.899324;36.43
1643597950.155782;36.43
1643598257.493345;36.43
1643598564.855083;36.43
1643598872.120378;36.43
1643599187.503992;36.43
1643599494.875671;36.43
1643599802.215106;36.52
1643600109.492163;37.15
1643600416.820312;-1
1643600724.115493;37.34
1643601031.499291;37.34
1643601338.885312;-1
1643601646.119509;37.34
1643601953.448733;37.34
1643602260.676138;37.34
1643602568.127263;37.34
1643602875.456282;37.34
1643603182.835558;37.34
1643603490.156308;37.34
1643603797.485127;37.34
1643604104.763682;37.34
1643604412.153326;37.34
1643604719.473623;37.34
1643605026.768284;37.34
1643605334.111225;37.34
1643605641.395877;37.34
1643605948.689435;37.34
1643606255.93691;37.34
1643606571.170029;-1
1643606878.450436;-1
1643607185.772653;-1
1643607493.109505;-1
1643607800.472174;-1
1643608107.764206;-1
1643608415.043138;-1
1643608722.329954;-1
1643609029.669509;-1
1643609336.93889;-1
1643609644.265497;-1
1643609951.547149;-1
1643610258.992311;-1
1643610566.373465;-1
1643610873.687973;-1
1643611181.080899;-1
1643611488.460309;-1
1643611795.77823;-1
1643612103.140734;-1
1643612410.469377;-1
1643612717.779502;-1
1643613025.066306;-1
1643613332.376896;-1
1643613639.670524;-1
1643613954.915302;-1
1643614262.220133;-1
1643614569.583377;-1
1643614876.748875;-1
1643615183.927614;-1
1643615491.051184;-1
1643615798.118919;-1
1643616105.451055;-1
1643616412.903587;-1
1643616720.303466;-1
1643617027.722132;-1
1643617335.238819;-1
1643617642.765709;-1
1643617950.264498;-1
1643618257.745539;-1
1643618565.199269;-1
1643618872.62136;-1
1643619180.120593;-1
1643619487.548958;-1
1643619795.073189;-1
1643620102.519102;-1
1643620409.950689;-1
1643620717.343987;-1
1643621024.782496;-1
1643621339.894187;37.41
1643621647.099492;37.41
1643621954.315165;37.41
1643622261.422629;37.41
1643622568.566061;37.41
1643622875.664025;37.41
1643623182.849443;37.41
1643623489.9554;37.41
1643623797.259302;37.41
1643624104.487911;37.41
1643624411.632689;37.41
1643624718.77565;37.41
1643625025.893343;37.41
1643625332.999618;37.41
1643625640.170775;37.41
1643625947.229939;37.41
1643626254.411202;37.41
1643626561.52076;37.41
1643626868.620729;37.41
1643627175.689056;37.41
1643627482.833258;37.41
1643627789.861334;37.41
1643628096.872363;37.41
1643628403.901289;37.41
1643628718.936465;37.41
1643629026.142211;37.41
1643629333.364791;37.41
1643629640.453532;37.41
1643629947.742157;37.41
1643630254.789294;37.41
1643630561.899972;37.41
1643630869.006987;37.41
1643631176.08834;37.41
1643631483.258246;37.41
1643631790.387488;37.41
1643632097.533185;37.41
1643632404.716471;-1
1643632711.863445;37.41
1643633019.085135;37.41
1643633326.516686;37.41
1643633633.93367;37.41
1643633941.376819;37.41
1643634248.831729;37.41
1643634556.272999;37.41
1643634863.648031;37.41
1643635171.117316;37.41
1643635478.541679;37.41
1643635786.007959;37.41
1643636101.01822;37.41
1643636408.204937;36.1
1643636715.319972;38.24
1643637022.508712;38.24
1643637329.761471;38.24
1643637636.972523;38.24
1643637944.068742;38.24
